,PULocationID,Date,Number of Rides
0,2,2019-01-04,2.0
1,3,2019-01-01,4.0
2,4,2019-01-01,579.0
3,5,2019-01-02,1.0
4,6,2019-01-01,1.0
5,7,2019-01-01,601.0
6,8,2019-01-01,2.0
7,9,2019-01-02,6.0
8,10,2019-01-01,66.0
9,11,2019-01-01,5.0
10,12,2019-01-01,175.0
11,13,2019-01-01,1316.0
12,14,2019-01-01,23.0
13,15,2019-01-01,3.0
14,16,2019-01-01,3.0
15,17,2019-01-01,101.0
16,18,2019-01-01,11.0
17,19,2019-01-01,6.0
18,20,2019-01-01,7.0
19,21,2019-01-01,7.0
20,22,2019-01-01,12.0
21,23,2019-01-01,1.0
22,24,2019-01-01,600.0
23,25,2019-01-01,184.0
24,26,2019-01-01,32.0
25,27,2019-01-12,1.0
26,28,2019-01-01,25.0
27,29,2019-01-01,4.0
28,30,2019-01-03,1.0
29,31,2019-01-02,1.0
30,32,2019-01-01,9.0
31,33,2019-01-01,172.0
32,34,2019-01-01,18.0
33,35,2019-01-01,28.0
34,36,2019-01-01,100.0
35,37,2019-01-01,170.0
36,38,2019-01-01,6.0
37,39,2019-01-01,16.0
38,40,2019-01-01,95.0
39,41,2019-01-01,1029.0
40,42,2019-01-01,563.0
41,43,2019-01-01,2829.0
42,44,2019-01-01,1.0
43,45,2019-01-01,591.0
44,46,2019-01-01,1.0
45,47,2019-01-01,15.0
46,48,2019-01-01,7197.0
47,49,2019-01-01,120.0
48,50,2019-01-01,2019.0
49,51,2019-01-01,13.0
50,52,2019-01-01,72.0
51,53,2019-01-01,3.0
52,54,2019-01-01,5.0
53,55,2019-01-01,3.0
54,56,2019-01-01,21.0
55,57,2019-01-01,1.0
56,58,2019-01-02,1.0
57,59,2019-01-01,1.0
58,60,2019-01-01,7.0
59,61,2019-01-01,123.0
60,62,2019-01-01,28.0
61,63,2019-01-01,14.0
62,64,2019-01-01,2.0
63,65,2018-12-31,2.0
64,66,2019-01-01,140.0
65,67,2019-01-01,11.0
66,68,2019-01-01,4845.0
67,69,2018-12-31,2.0
68,70,2019-01-01,48.0
69,71,2019-01-01,12.0
70,72,2019-01-01,19.0
71,73,2019-01-01,3.0
72,74,2019-01-01,1028.0
73,75,2019-01-01,1403.0
74,76,2019-01-01,41.0
75,77,2019-01-01,10.0
76,78,2019-01-01,12.0
77,79,2019-01-01,6748.0
78,80,2019-01-01,290.0
79,81,2019-01-01,3.0
80,82,2018-12-31,1.0
81,83,2019-01-01,51.0
82,84,2019-01-11,1.0
83,85,2019-01-01,12.0
84,86,2019-01-01,2.0
85,87,2019-01-01,1220.0
86,88,2019-01-01,688.0
87,89,2019-01-01,42.0
88,90,2019-01-01,2978.0
89,91,2019-01-01,15.0
90,92,2019-01-01,13.0
91,93,2019-01-01,30.0
92,94,2019-01-01,9.0
93,95,2019-01-01,37.0
94,96,2019-01-01,1.0
95,97,2019-01-01,201.0
96,98,2019-01-01,4.0
97,99,2019-01-18,1.0
98,100,2019-01-01,3372.0
99,101,2019-01-01,5.0
100,102,2019-01-01,3.0
101,104,2019-01-23,1.0
102,105,2019-01-08,1.0
